tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Darcy Vargas,5,Vasco da Gama,20921100,-22.889236,-43.229761
Rua,Professor Fernando Raja Gabaglia,364,Anil,22750660,-22.946095,-43.332478
Travessa,Joao de Matos,70,Quintino,21381040,-22.882679,-43.317768
Travessa,Joao de Matos,136,Quintino,21381040,-22.881985,-43.317456
Entrada,1001,12,Ricardo de Albuquerque,21640260,-22.833710,-43.388829
Rua,Guaiuba,659,Acari,21531010,-22.822057,-43.342923
Rua,Severino de Oliveira 2,12,Anchieta,21645560,-22.825377,-43.388994
Rua,Nathan Pedro Vasconcelos,125,Campo Grande,23095620,-22.871883,-43.558892
Travessa,Dois Coqueiros,25,Santa Cruz,23510481,-22.926863,-43.672722
Rua,Jamilton de Oliveira,13,Sepetiba,23530570,-22.973719,-43.685032
Avenida,Das Americas,11555,Barra da Tijuca,22793081,-23.005639,-43.431110
Rua,Da Cegonha,830,Bangu,21866000,-22.844530,-43.464760
Beco,B,10,Sepetiba,23535128,-22.973060,-43.688426
Rua,Anesio de Castro,21,Tijuca,20260322,-22.926801,-43.219496
Rua,Alto D Ouro,36,Padre Miguel,21775240,-22.893105,-43.448668
Rua,Edith Campos Estrela,103,Vila Kennedy,21853354,-22.850056,-43.489588
Rua,Edith Campos Estrela,71,Vila Kennedy,21853354,-22.849704,-43.488795
Rua,Dourados,72,Cordovil,21250500,-22.824492,-43.300715
Estrada,Santo Antonio,199,Sepetiba,23535650,-22.975526,-43.682919
Rua,Guaraci,119,Realengo,21765490,-22.895459,-43.436283
Rua,Leonardo Euler,77,Campo Grande,23080420,-22.899964,-43.569091
Rua,Leonardo Euler,81,Campo Grande,23080420,-22.899937,-43.568676
Rua,Betumes,155,Rio das Pedras,22753039,-22.979048,-43.340111
Rua,Sargento Wilson Barbosa,71,Bangu,21842480,-22.873812,-43.484558
Rua,Mariz e Barros,881,Tijuca,20270004,-22.916365,-43.222175
Rua,Frei Pinto,68,Rocha,20950140,-22.904006,-43.252292
