tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Onca de Pitangui,73,Campo Grande,23047360,-22.925927,-43.563806
Estrada,Marechal Miguel Salazar Mendes de Moraes,289,Rio de Janeiro,22770330,-22.938017,-43.368949
Rua,Clovis Bornai,4,Jardim America,21240800,-22.803702,-43.320080
Rua,Ivete Vargas,125,Senador Camara,21044710,-22.884593,-43.503168
Rua,Eduardo Teixeira,132,Centro,23026290,-22.998547,-43.636180
Rua,Alberto Pasqualini,231,Pechincha,22740250,-22.924140,-43.355704
Rua,Ipres,31,Praca Seca,21341340,-22.885092,-43.354155
Rua,Dilson Funaro,14,Realengo,21755390,-22.888931,-43.423329
Rua,Dilson Funaro,4,Realengo,21755390,-22.888456,-43.423807
Rua,Ernani de Brito,5,Sepetiba,23535131,-22.981861,-43.699002
Rua,Ernani de Brito,14,Sepetiba,23535131,-22.981037,-43.698617
Rua,Inacio de Bulhoes,100,Bancarios,21910140,-22.798915,-43.176495
Rua,Sargento Andiras de Abreu,692,Jardim Palmares I,23066080,-22.888737,-43.636977
Rua,Teixeira de Aragao,266,Campo Grande,23050435,-22.908931,-43.569683
Rua,Julio Cesar,469,Rio de Janeiro,21810073,-22.879641,-43.459697
Rua,Alcides Lima,240,Freguesia,22750320,-22.944127,-43.338096
Rua,Alfa,53,Guadalupe,21665370,-22.834064,-43.377024
Rua,Doutor Jose Augusto Meira Lima,105,Paciencia,23587410,-22.927823,-43.622875
Estrada,De Camorim,830,Jacarepagua,22780070,-22.969909,-43.421563
Rua,Doutor Jose Augusto Meira Lima,205,Paciencia,23587410,-22.926995,-43.622913
Rua,Pirina,469,Pechincha,22743090,-22.930377,-43.351031
Rua,Pirina,385,Pechincha,22743090,-22.931298,-43.350958
Rua,Itaiba,14,Cavalcanti,21381290,-22.873571,-43.312701
Rua,Monte Carmelo,306,Bento Ribeiro,21555120,-22.858123,-43.361240
Rua,Araguaia,1570,Freguesia,22745271,-22.933760,-43.332717
Rua,Frederico Leal,309,Bangu,21825110,-22.887456,-43.471381
Travessa,Itacua,40,Freguesia,21911335,-22.787549,-43.178446
Travessa,Itacua,92,Freguesia,21911335,-22.788246,-43.177971
Rua,Sargento Jose dos Santos,149,Paciencia,23580070,-22.915218,-43.639506
Rua,Marechal Modestino,515,Realengo,21735330,-22.869636,-43.432537
Rua,Araca,610,Ricardo de Albuquerque,21620050,-22.838992,-43.404518
Avenida,Cesario de Melo,4070,Campo Grande,23050101,-22.907284,-43.570807
Rua,Taufik Dib,99,Campo Grande,23076380,-22.879388,-43.576530
Rua,Da Moranga,17,Cosmos,23058230,-22.921448,-43.618132
Rua,Renato de Vasconcelos,29,Sepetiba,22452610,-22.956618,-43.703560
Estrada,Sao Pedro de Alcantara,3975,Magalhaes Bastos,21615435,-22.871080,-43.419581
Rua,Tramandai,41,Jardim Carioca,21931550,-22.806388,-43.195953
Travessa,Moraes Pinheiro,26,Ricardo de Albuquerque,21640260,-22.829891,-43.389440
Rua,Vazantes,294,Guadalupe,21660260,-22.841299,-43.380564
Rua,Gelse Paciello da Motta,71,Recreio dos Bandeirantes,22795310,-23.024219,-43.485453
Rua,Almeida e Sousa,76,Magalhaes Bastos,21745310,-22.881734,-43.409551
Rua,Umbuzeiro,92,Ricardo de Albuquerque,21620610,-22.840071,-43.400822
Rua,Laura Brandao,93,Guadalupe,21675510,-22.846089,-43.365689
Rua,Laura Brandao,151,Guadalupe,21675510,-22.845777,-43.365140
Rua,Luis Zancheta,57,Riachuelo,20970120,-22.895181,-43.258392
Rua,Orica,1510,Bras de Pina,21215260,-22.829830,-43.298278
Rua,Teixeira,13,Senador Camara,21842596,-22.872966,-43.501626
Rua,Inacia Gertrudes,680,Parque Anchieta,21625210,-22.832857,-43.402970
Rua,Teixeira,18,Senador Camara,21842596,-22.872763,-43.501606
Rua,Professor Estelita Lins,45,Laranjeiras,22245150,-22.939207,-43.190954
Rua,Mont Alverne,20,Santo Cristo,20220180,-22.905283,-43.204266
Rua,Primeiro de Marco,21,Babilonia,22010060,-22.961631,-43.171214
Estrada,Roberto Burle Marx,9337,Barra de Guaratiba,23020265,-23.063543,-43.566120
Rua,Arcozelo,598,Vila Valqueire,21321480,-22.887093,-43.370362
Estrada,Do Magarca,8590,Guaratiba,23031205,-22.978431,-43.639238
Estrada,Do Magarca,8592,Guaratiba,23031205,-22.978502,-43.639283
Rua,Itaipava,16,Cosmos,22461030,-22.903100,-43.609334
Rua,Itaipava,24,Cosmos,22461030,-22.903720,-43.609390
Estrada,Do Magarca,8267,Guaratiba,23031205,-22.976358,-43.637942
Rua,Bandeira de Melo,481,Realengo,21760010,-22.887005,-43.416976
Rua,Marques Parana,2,Caju,20931007,-22.879838,-43.228012
Rua,Expedicionarios,55,Barreira do Vasco,20921130,-22.889305,-43.230047
Rua,Juruce,361,Colegio,21545170,-22.844275,-43.341539
Rua,Carauna,50,Campo Grande,23045560,-22.920021,-43.563441
Travessa,Barranquilha,70,Vila Kennedy,21850440,-22.859649,-43.487841
Beco,Amor,10,Cachoeirinha,20715450,-22.914549,-43.281203
Beco,Amor,13,Cachoeirinha,20715450,-22.914597,-43.280528
Estrada,Do Pau Ferro,293,Pechincha,22743050,-22.926437,-43.347663
Rua,General Orlando Geisel,0,Recreio dos Bandeirantes,22790280,-23.012645,-43.453392
Rua,Itaunas,5,Campo Grande,23068155,-22.888127,-43.597130
Rua,Monte Azul,304,Campo Grande,23071000,-22.897664,-43.582793
Travessa,Isabel Duarte,18,Guadalupe,21675620,-22.848274,-43.365568
Rua,Prefeito Joao Felipe,12,Santa Teresa,20251140,-22.932346,-43.198672
Estrada,Do Grumari,400,Grumari,23020340,-23.051501,-43.551387
Beco,Mane Garrincha,18,Tomas Coelho,21370540,-22.860055,-43.307780
Estrada,Do Grumari,109,Grumari,23020340,-23.052248,-43.552967
Rua,Professor Nicanor Lemgruber Entrada 104,61,Realengo,21765600,-22.900717,-43.440627
Rua,Orcadas,39,Jardim Carioca,21920257,-22.803796,-43.197926
Rua,Sargento Otavio Sodre,415,Galeao,22790750,-22.816491,-43.224608
Rua,Sargento Otavio Sodre,395,Galeao,22790750,-22.816628,-43.224715
Travessa,Ribeiro,7,Mato Alto,23510176,-22.973020,-43.591695
Travessa,Morelos,35,Inhauma,21061020,-22.866235,-43.274424
Rua,Doutor Nunes,100,Olaria,21021370,-22.844735,-43.266725
Rua,Profeta Daniel,12,Grajau,20540990,-22.929597,-43.262903
Rua,Picui,546,Bento Ribeiro,21550400,-22.860332,-43.354723
Rua,Taffarel,327,Vila Kennedy,21850020,-22.861279,-43.480838
Rua,Xavier Pinheiro,89,Vigario Geral,21241320,-22.805322,-43.310976
Rua,Rio do Anil,82,Freguesia,22745150,-22.935383,-43.328364
Rua,Sibiribi,111,Bangu,21865180,-22.851687,-43.462113
Rua,Sibiribi,93,Bangu,21865180,-22.851714,-43.462195
Rua,Castro Menezes,766,Bras de Pina,21215250,-22.833009,-43.299298
Estrada,Santa Maria,1995,Campo Grande,23071160,-22.879046,-43.581623
Rua,Caranda,99,Piedade,20740580,-22.903796,-43.311727
Rua,Salomao Silvain Hazan,120,Inhoaiba,23059250,-22.911130,-43.598772
Rua,Doutor Roberto Alvarez de Sa,76,Taquara,22765110,-22.948756,-43.375024
Rua,Sao Longino,195,Taquara,22775310,-22.947019,-43.374437
Rua,Dois de Fevereiro,228,Encantado,20730452,-22.898062,-43.301353
Via,B,6,Rocinha 2 Cdd,22753000,-22.952629,-43.367438
Rua,Luis Coutinho Cavalcanti,895,Guadalupe,21675310,-22.850905,-43.371011
Rua,Andrade Pinto,150,Madureira,21310140,-22.877037,-43.343057
Rua,Sao Joao,42,Vila do Ceu,23060720,-22.907021,-43.605452
Rua,Pascal,145,Vila da Penha,21221440,-22.848443,-43.313414
Entrada,1125,100,Ricardo de Albuquerque,21640260,-22.834719,-43.388991
Avenida,Dos Esportes,15,Pavuna,21535510,-22.806560,-43.331082
Rua,Professor Alberto Meier,155,Pitangueiras,21930310,-22.817453,-43.180196
Rua,Sao Domingos,37,Acari,21235400,-22.823137,-43.340246
Rua,Tenente Cleto Campelo,5,Cocota,21921025,-22.810796,-43.185206
Rua,Campos Altos,435,Senador Vasconcelos,23013290,-22.903048,-43.536453
Rua,Campos Altos,6,Senador Vasconcelos,23013290,-22.903367,-43.536305
Rua,Do Mensageiro,30,Bangu,21842020,-22.872880,-43.477169
Rua,Sargento Aquino,451,Olaria,21021640,-22.839327,-43.263019
Avenida,Professor Djalma Cavalcanti,1,Guadalupe,21675400,-22.852663,-43.373792
Travessa,Candido das Neves,12,Vila Kosmos,21221080,-22.852115,-43.303504
Rua,Regis Mota,49,Paciencia,23595080,-22.928501,-43.643193
Rua,Da Conciliacao,330,Santa Cruz,23520190,-22.934780,-43.682815
Rua,Piumbi,180,Ramos,21060000,-22.863574,-43.259420
Rua,Da Conciliacao,401,Santa Cruz,23520190,-22.934656,-43.682941
Rua,Celestino da Silva,121,Padre Miguel,21815490,-22.881656,-43.453950
Travessa,Dezoito,44,Bangu,21842550,-22.865955,-43.482203
Rua,Mangustao,87,Bangu,21865250,-22.849592,-43.462332
Rua,Mangustao,51,Bangu,21865250,-22.849857,-43.462502
Avenida,Professor Plinio Bastos,380,Olaria,21021350,-22.840103,-43.266827
Rua,Domingos de Oliveira Alves,70,Campo Grande,23082210,-22.889183,-43.572278
Rua,Domingos de Oliveira Alves,100,Campo Grande,23082210,-22.889513,-43.572222
