tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Sacopa,300,Lagoa,22471180,-22.965970,-43.200895
Rua,Mario Reis,45,Senador Vasconcelos,23012100,-22.892139,-43.532234
Rua,Feliz Lembranca,73,Andarai,20530530,-22.931007,-43.252749
Rua,Jornalista Geraldo Rocha,564,Rio de Janeiro,21240080,-22.811681,-43.321135
Rua,Miecimo,6,Cosmos,23066360,-22.892411,-43.616832
Rua,Miecimo,12,Cosmos,23066360,-22.892460,-43.616739
Rua,Caldas Barbosa,28,Piedade,20740170,-22.892059,-43.311630
Rua,Caldas Barbosa,74,Piedade,20740170,-22.891621,-43.312745
Rua,Sao Bonfilio,819,Cidade de Deus,22763170,-22.942948,-43.354682
Rua,Sao Feliciano,67,Bangu,21863490,-22.858497,-43.457390
Rua,Dirceu Pimentel,145,Campo Grande,23040620,-22.924362,-43.541329
Rua,Divinesia,36,Bangu,21864060,-22.848611,-43.471434
Rua,Divinesia,38,Bangu,21864060,-22.848513,-43.471421
Rua,Dezenove de Fevereiro,158,Botafogo,22280030,-22.954258,-43.185492
Rua,Dezenove de Fevereiro,184,Botafogo,22280030,-22.954635,-43.184565
Rua,Ministro Moreira de Abreu,186,Olaria,21071485,-22.849289,-43.275547
Rua,Sacopa,816,Lagoa,22471180,-22.966092,-43.200252
Travessa,Eliseu Pinhal,106,Sepetiba,23540320,-22.971911,-43.704023
Ladeira,Frei Orlando,8,Centro,20231000,-22.912234,-43.192825
Rua,Jurumirim,231,Penha,21070820,-22.847116,-43.289869
Beco,Altair Borges Marinho,1,Costa Barros,21532182,-22.816246,-43.369040
Rua,Ministro Moreira de Abreu,208,Olaria,21071485,-22.849554,-43.275960
Rua,Ministro Moreira de Abreu,220,Olaria,21071485,-22.849780,-43.276217
Rua,Carlos,24,Acari,21530250,-22.825152,-43.345033
Avenida,Cesario de Melo,4195,Campo Grande,23055002,-22.907284,-43.572370
Travessa,Eliseu Pinhal,146,Sepetiba,23540320,-22.973854,-43.703220
Rua,Portugal,2,Vigario Geral,21010650,-22.808284,-43.302471
Rua,Portugal,4,Vigario Geral,21010650,-22.808120,-43.302457
Rua,Jornalista Geraldo Rocha,510,Rio de Janeiro,21240080,-22.811816,-43.321462
Rua,Jornalista Geraldo Rocha,500,Rio de Janeiro,21240080,-22.811949,-43.321471
Rua,Sao Joao da Barra,9,Guaratiba,23026350,-22.989359,-43.648191
Rua,Caldas Barbosa,32,Piedade,20740170,-22.892010,-43.311797
Rua,Henrique Basilio,0,Realengo,21765170,-22.893726,-43.429813
Rua,Dirceu Pimentel,35,Campo Grande,23040620,-22.924374,-43.542200
Rua,Constancio Alves,33,Lins de Vasconcelos,20720260,-22.910579,-43.292263
1a Travessa da Rua,Ibirarema,13,Santa Cruz,23520520,-22.949047,-43.644031
Rua,Ministro Moreira de Abreu,206,Olaria,21071485,-22.849595,-43.275927
Rua,Ministro Moreira de Abreu,202,Olaria,21071485,-22.849628,-43.275832
Rua,Hilton de Albuquerque,27,Bangu,21863850,-22.845119,-43.468154
Beco,Da Bica,3,Providencia,23085575,-22.899467,-43.194890
Avenida,Marechal Rondon,2021,Sampaio,20950071,-22.903878,-43.258644
