tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Estrada,Da Matriz,1455,Guaratiba,23020715,-22.995569,-43.621847
Rua,Peroba,316,Gardenia Azul,22765580,-22.959440,-43.351909
Rua,Peroba,336,Gardenia Azul,22765580,-22.959417,-43.352088
Rua,Peroba,342,Gardenia Azul,22765580,-22.959470,-43.352229
Rua,Peroba,350,Gardenia Azul,22765580,-22.959453,-43.352238
Rua,Clarimundo de Melo,635,Quintino Bocaiuva,21070320,-22.895590,-43.317946
Rua,Campeiro Mor,845,Santa Cruz,23555041,-22.917152,-43.689219
Beco,Do Olaria,26,Ilha de Guaratiba,23020490,-23.009246,-43.543295
Beco,Do Olaria,13,Ilha de Guaratiba,23020490,-23.008840,-43.543006
Beco,Do Olaria,5,Ilha de Guaratiba,23020490,-23.008880,-43.543206
Rua,Do Arquiteto,51,Gardenia Azul,22763627,-22.962758,-43.348369
Rua,Do Arquiteto,3,Gardenia Azul,22763627,-22.962758,-43.348369
Rua,Do Arquiteto,29,Gardenia Azul,22763627,-22.962758,-43.348369
Rua,Boa Viagem,188,Bras de Pina,21011150,-22.828282,-43.285487
Rua,Boa Viagem,170,Bras de Pina,21011150,-22.828269,-43.285576
Rua,Francisco de Castro,10,Santa Teresa,20241300,-22.924369,-43.187115
Rua,Francisco de Castro,9,Santa Teresa,20241300,-22.924664,-43.187119
Avenida,Brasil,31405,Padre Miguel,21720001,-22.861290,-43.451595
Avenida,Brasil,31339,Padre Miguel,21720001,-22.861466,-43.450988
Avenida,Brasil,31335,Padre Miguel,21720001,-22.861472,-43.450946
Rua,Viriato Vargas,190,Tijuca,20531050,-22.948002,-43.261611
Rua,Viriato Vargas,584,Tijuca,20531050,-22.948400,-43.262418
Rua,Viriato Vargas,604,Tijuca,20531050,-22.948194,-43.262313
Rua,Viriato Vargas,12,Tijuca,20531050,-22.947711,-43.261046
Rua,Sousa Moreira,454,Inhoaiba,23059540,-22.909640,-43.596141
Rua,Serinhaem,72,Barros Filho,21512070,-22.840710,-43.363150
Rua,Eduardo Nadruz,0,Portuguesa,21932610,-22.801990,-43.211168
Rua,Eduardo Nadruz,241,Portuguesa,21932610,-22.802192,-43.211119
Praca,Da Republica,13,Centro,20211350,-22.908427,-43.186347
Rua,De Jaguari,279,Iraja,21235555,-22.842095,-43.321089
Rua,De Jaguari,223,Iraja,21235555,-22.841641,-43.321352
Rua,Mauricio da Costa Faria,120,Barra da Tijuca,22790285,-23.011259,-43.449816
