tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Ismenia,250,Bento Ribeiro,21331500,-22.871677,-43.359121
Rua,Ismenia,264,Bento Ribeiro,21331500,-22.871947,-43.359271
Rua,Peri,370,Jardim Botanico,22460100,-22.962667,-43.225032
Rua,Jose Ferreira,0,Campo Grande,23052110,-22.904127,-43.557980
Estrada,Do Realengo,1212,Padre Miguel,21810122,-22.880749,-43.452916
Estrada,Do Realengo,1264,Padre Miguel,21810122,-22.880865,-43.453509
Estrada,Do Realengo,1244,Padre Miguel,21810122,-22.880800,-43.453274
Estrada,Do Realengo,1222,Padre Miguel,21810122,-22.880798,-43.453088
Avenida,Epitacio Pessoa,604,Ipanema,22410090,-22.980195,-43.212531
Praca,Da Graminha,23,Piedade,20751350,-22.874765,-43.305002
Rua,Horto Florestal,479,Santa Cruz,23570042,-22.907178,-43.690168
Rua,Horto Florestal,407,Santa Cruz,23570042,-22.907486,-43.689676
Rua,Horto Florestal,395,Santa Cruz,23570042,-22.907894,-43.689027
Rua,Horto Florestal,181,Santa Cruz,23570042,-22.907994,-43.688836
Rua,Horto Florestal,401,Santa Cruz,23570042,-22.907518,-43.689354
Rua,Horto Florestal,400,Santa Cruz,23570042,-22.908213,-43.688755
Travessa,Amizade,12,Complexo do Alemao,21061240,-22.858808,-43.270117
Rua,Edilson dos Santos,4,Santa Cruz,23520362,-22.936195,-43.680640
Rua,Edilson dos Santos,12,Santa Cruz,23520362,-22.936403,-43.680446
Rua,Edilson dos Santos,8,Santa Cruz,23520362,-22.936520,-43.680249
Travessa,Da Amizade,16,Praca Seca,22723030,-22.907455,-43.353531
Rua,Sousa Caldas,290,Oswaldo Cruz,21550160,-22.861677,-43.350187
Rua,Cacapava,99,Grajau,20541350,-22.927079,-43.258067
Rua,Tenente Lopes Ribeiro,15,Bras de Pina,21215360,-22.829717,-43.299740
Rua,Tenente Lopes Ribeiro,89,Bras de Pina,21215360,-22.829776,-43.299726
Rua,Tenente Lopes Ribeiro,99,Bras de Pina,21215360,-22.829836,-43.299700
Rua,Tenente Lopes Ribeiro,75,Bras de Pina,21215360,-22.829653,-43.299824
Rua,Tenente Lopes Ribeiro,63,Bras de Pina,21215360,-22.829621,-43.299854
Rua,Juvenal Galeno,99,Ramos,21060060,-22.852399,-43.266398
Rua,Juvenal Galeno,113,Ramos,21060060,-22.852237,-43.267225
Rua,Juvenal Galeno,115,Ramos,21060060,-22.852685,-43.266822
Rua,Joaquim Felicio,75,Jardim Guaratiba,23032420,-22.977083,-43.645895
Rua,Joaquim Felicio,55,Jardim Guaratiba,23032420,-22.976652,-43.646139
Rua,Joaquim Felicio,47,Jardim Guaratiba,23032420,-22.977017,-43.646274
Rua,Do Aprendiz,43,Bangu,21842410,-22.871959,-43.481519
Rua,Do Livramento,215,Gamboa,21922200,-22.897673,-43.195417
Rua,Camerino,38,Gamboa,20080010,-22.898457,-43.187645
Rua,Camerino,44,Gamboa,20080010,-22.898649,-43.187522
Rua,Camerino,32,Gamboa,20080010,-22.898352,-43.187516
Praca,Paulo Setubal,105,Vila da Penha,21221350,-22.842023,-43.311754
Praca,Paulo Setubal,87,Vila da Penha,21221350,-22.841996,-43.311735
Praca,Paulo Setubal,85,Vila da Penha,21221350,-22.842129,-43.311755
Estrada,Da Agua Grande,290,Iraja,21230363,-22.828390,-43.324445
Estrada,Da Agua Grande,294,Iraja,21230363,-22.828325,-43.324045
Beco,Do Mota,16,Praca da Bandeira,20270140,-22.915061,-43.213161
Rua,Paulino Chaves Antiga Rua Dezesseis,624,Novo Mundo,23565450,-22.895762,-43.722406
Rua,Paulino Chaves Antiga Rua Dezesseis,648,Novo Mundo,23565450,-22.895545,-43.722283
Rua,Paulino Chaves Antiga Rua Dezesseis,664,Novo Mundo,23565450,-22.895400,-43.722198
Rua,Paulino Chaves Antiga Rua Dezesseis,680,Novo Mundo,23565450,-22.895253,-43.722079
Rua,Paulino Chaves Antiga Rua Dezesseis,720,Novo Mundo,23565450,-22.894986,-43.721682
Rua,Tranversal,9,Penha Circular,21210380,-22.841864,-43.292703
Estrada,Capitao Campos,133,Comunidade Agricola,20535010,-22.978503,-43.296738
Avenida,Guilherme Maxwell,8,Mare,21042111,-22.866152,-43.240597
Rua,Renato de Vasconcelos,10,Sepetiba,22452610,-22.956440,-43.703091
Rua,Carlos Marighela,0,Santa Cruz,23575400,-22.907174,-43.667629
Rua,Carlos Marighela,335,Santa Cruz,23575400,-22.907352,-43.667386
Rua,Carlos Marighela,275,Santa Cruz,23575400,-22.907690,-43.666871
Rua,Rio Casca,5,Campo Grande,23016380,-22.913207,-43.534407
Rua,Rio Casca,8,Campo Grande,23016380,-22.913146,-43.534796
Rua,Rio Casca,0,Campo Grande,23016380,-22.912744,-43.535467
Rua,Carlos Marighela,324,Santa Cruz,23575400,-22.907254,-43.667291
Avenida,Itaoca,2015,Inhauma,21061020,-22.868012,-43.269134
Travessa,Kelly Cristina,11,Sepetiba,23530023,-22.969661,-43.691266
Rua,Alvaro Fortes,110,Santissimo,23098070,-22.868676,-43.509462
Rua,Teixeira Campos,1474,Santissimo,23098062,-22.869974,-43.509016
Rua,Teixeira Campos,1420,Santissimo,23098062,-22.870073,-43.508846
Rua,Teixeira Campos,17,Santissimo,23098062,-22.870007,-43.509053
