tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Travessa,Claudine Silvestre,34,Marechal Hermes,21670560,-22.849086,-43.364876
Rua,Da Praca,53,Engenho da Rainha,20765465,-22.870153,-43.299848
Rua,Da Praca,132,Engenho da Rainha,20765465,-22.869067,-43.301748
Rua,Da Praca,144,Engenho da Rainha,20765465,-22.868821,-43.301985
Travessa,Oliveira,130,Galeao,21940000,-22.821034,-43.230039
Travessa,Alexandre Moura,10,Senador Camara,23010180,-22.877416,-43.507166
Travessa,Alexandre Moura,16,Senador Camara,23010180,-22.877340,-43.507137
Rua,Caminho de Dentro,384,Mato Alto,23030590,-22.961854,-43.578373
Rua,Pedra Branca,410,Taquara,22715330,-22.919662,-43.380305
Rua,Soares Caldeira,241,Madureira,21351080,-22.870976,-43.338254
Rua,Jose de Almeida Barreto,201,Praia da Bandeira,21921548,-22.811828,-43.181037
Rua,Aderbal de Carvalho,205,Pilares,20750160,-22.876685,-43.301085
Travessa,Antonio Tenorio,10,Vigario Geral,21010630,-22.805941,-43.302837
Estrada,Do Piai,5382,Sepetiba,23530611,-22.969344,-43.696564
Rua,Cracituba,230,Ricardo de Albuquerque,21620210,-22.838564,-43.407386
Praca,Estoril,75,Marechal Hermes,21610500,-22.865434,-43.370553
Rua,Corina Dantas,100,Campo Grande,23040573,-22.922857,-43.535865
Rua,Carlos Anes,134,Pavuna,21650120,-22.813188,-43.372070
Travessa,Triunfo,640,Sepetiba,23545020,-22.963245,-43.695862
Rua,Tamarana,1188,Cosmos,23060220,-22.887486,-43.600202
Travessa,Laurinha,3,Santa Cruz,23550116,-22.921886,-43.697769
Rua,Flaminia,783,Penha Circular,21221240,-22.842674,-43.304649
Travessa,Margarida,67,Senador Camara,21832309,-22.895638,-43.495408
Rua,Edmur Pericles Camargo,8,Senador Camara,21832145,-22.894274,-43.487676
Rua,Oswaldo de Carvalho,41,Senador Camara,21831220,-22.888347,-43.480696
1a Travessa da Rua,Manuel Fernandes Branco,702,Jardim Carioca,21921310,-22.800371,-43.192606
