tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Iranduba,84,Cordovil,21250380,-22.819910,-43.300998
Rua,Iranduba,334,Cordovil,21250380,-22.821760,-43.302451
Rua,Iranduba,204,Cordovil,21250380,-22.820730,-43.301685
Rua,Iranduba,174,Cordovil,21250380,-22.820547,-43.301468
Rua,Iranduba,72,Cordovil,21250380,-22.819882,-43.301007
Rua,Iranduba,262,Cordovil,21250380,-22.821282,-43.301995
Rua,Iranduba,286,Cordovil,21250380,-22.821421,-43.302213
Rua,Iranduba,214,Cordovil,21250380,-22.820905,-43.301777
Rua,Iranduba,272,Cordovil,21250380,-22.821280,-43.302134
Rua,Iranduba,38,Cordovil,21250380,-22.819504,-43.300679
Rua,Iranduba,320,Cordovil,21250380,-22.821692,-43.302417
Rua,Iranduba,236,Cordovil,21250380,-22.821083,-43.301911
Rua,Iranduba,344,Cordovil,21250380,-22.822407,-43.302374
Rua,Iranduba,280,Cordovil,21250380,-22.821441,-43.302148
Rua,Iranduba,405,Cordovil,21250380,-22.822321,-43.302750
Rua,Iranduba,367,Cordovil,21250380,-22.822159,-43.302653
Rua,Gomes Lopes,1,Morro do Escondidinho,20241410,-22.932148,-43.202980
Rua,Gomes Lopes,3,Morro do Escondidinho,20241410,-22.932245,-43.202980
Rua,Gomes Lopes,88,Morro do Escondidinho,20241410,-22.932368,-43.203072
Rua,Gomes Lopes,90,Morro do Escondidinho,20241410,-22.932412,-43.203005
Rua,Gomes Lopes,6,Morro do Escondidinho,20241410,-22.932593,-43.202943
Rua,Venda das Flores,100,Guaratiba,23035110,-22.948133,-43.595003
Rua,Major Toja Martinez Filho,144,Vidigal,22450270,-22.993367,-43.238902
Rua,Major Toja Martinez Filho,156,Vidigal,22450270,-22.993320,-43.239713
Rua,Major Toja Martinez Filho,118,Vidigal,22450270,-22.993003,-43.237244
Rua,Da Liberdade,10,Bangu,21862465,-22.865792,-43.467388
Rua,Da Liberdade,11,Bangu,21862465,-22.865920,-43.467592
Rua,Da Liberdade,19,Bangu,21862465,-22.866201,-43.467591
Rua,Da Liberdade,17,Bangu,21862465,-22.866139,-43.467750
Rua,Da Liberdade,23,Bangu,21862465,-22.866348,-43.467804
Rua,Da Liberdade,25,Bangu,21862465,-22.866404,-43.467829
Rua,Da Liberdade,33,Bangu,21862465,-22.866349,-43.467787
Caminho,Da Valora,22,Guaratiba,23042565,-22.954365,-43.564856
Rua,Carumbe,6,Realengo,21755140,-22.884583,-43.419881
Rua,Carumbe,5,Realengo,21755140,-22.884721,-43.419798
Rua,Da Liberdade,5,Bangu,21862465,-22.865606,-43.467325
Rua,Gomes Lopes,12,Morro do Escondidinho,20241410,-22.933140,-43.202833
Estrada,Estrela da Tarde,0,Guaratiba,23020430,-23.010356,-43.536343
