tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Travessa,Paulo Leivas Macalao,23,Realengo,21715550,-22.879110,-43.441376
Rua,Valdemar Rayther,28,Guadalupe,21665285,-22.833983,-43.374351
Rua,Eliseu Visconti,449,Santa Teresa,20251250,-22.929811,-43.195837
Rua,Hilton Gosling,210,Taquara,22715540,-22.923885,-43.386849
Rua,Jacks Maritain,112,Vila Cruzeiro,21072150,-22.850376,-43.286595
Rua,Luxemburgo,25,Padre Miguel,21875130,-22.872874,-43.451904
Rua,Domingos Ferreira,58,Mangueira,20911020,-22.902837,-43.237142
Rua,Capivari,125,Morro do Timbau,21042090,-22.863660,-43.241230
Rua,Flamengo,21,Parada de Lucas,21010756,-22.810083,-43.300464
Rua,Flamengo,17,Parada de Lucas,21010756,-22.810198,-43.300512
Rua,Seis,267,Mare,21046670,-22.873676,-43.241253
Rua,Quatro,285,Sepetiba,23520660,-22.958146,-43.678502
Rua,Quatro,205,Sepetiba,23520660,-22.957809,-43.679134
Rua,Florinda,146,Piedade,21381006,-22.879231,-43.310299
Entrada,15,320,Senador Vasconcelos,23010390,-22.892633,-43.519787
Beco,Do N 1695,45,Vila 199,22451262,-22.987625,-43.241833
Rua,Eliseu Visconti,407,Santa Teresa,20251250,-22.928255,-43.196772
Rua,Eliseu Visconti,366,Santa Teresa,20251250,-22.928741,-43.197153
Rua,Valdemar Rayther,29,Guadalupe,21665285,-22.834117,-43.374332
Rua,Valdemar Rayther,108,Guadalupe,21665285,-22.834851,-43.373696
Rua,Valdemar Rayther,184,Guadalupe,21665285,-22.835516,-43.373286
Rua,Flamengo,29,Parada de Lucas,21010756,-22.809952,-43.300595
Rua,Alice Figueiredo,26,Riachuelo,20950150,-22.902997,-43.254019
Rua,Correia e Castro,140,Jardim Guanabara,21940080,-22.812190,-43.196648
Rua,Pedro Americo,97,Catete,22211200,-22.924190,-43.178482
Rua,Francisco Morazan,21,Barra da Tijuca,22790736,-23.008341,-43.434834
Praca,Armando Cruz,0,Madureira,21310350,-22.879257,-43.336408
Rua,Jacks Maritain,98,Vila Cruzeiro,21072150,-22.850265,-43.286139
Rua,E,274,Muzema,22753053,-22.988814,-43.329242
Beco,Do N 1695,310,Vila 199,22451262,-22.987720,-43.241642
Rua,Luxemburgo,43,Padre Miguel,21875130,-22.872844,-43.451551
Rua,Belford,343,Rocha,20961000,-22.897821,-43.252444
Rua,Ajapi,175,Cosmos,23066420,-22.887691,-43.612558
Avenida,Cesario de Melo,10281,Paciencia,23585125,-22.915842,-43.628495
Rua,Alice Figueiredo,50,Riachuelo,20950150,-22.903810,-43.253913
Rua,Braco do Norte,2,Campo Grande,23075008,-22.881420,-43.587945
Beco,Das Arvores,12,Campo Grande,23042189,-22.917954,-43.554567
Rua,Durval de Morais,131,Guaratiba,23028020,-22.978784,-43.659756
Rua,J J Seabra,10,Lagoa,22470130,-22.963841,-43.216619
Travessa,Enora,6,Acari,21531300,-22.824451,-43.339255
Rua,Alexandre Vannucchi Leme,26,Bangu,21862740,-22.859091,-43.469303
Rua,Menino Jesus,8,Terra Nostra,21650100,-22.828873,-43.370290
Rua,Hilton Gosling,330,Taquara,22715540,-22.924134,-43.387960
Rua,Colorado do Oeste,12,Campo Grande,23073575,-22.883206,-43.586095
Avenida,Meriti,1252,Vila da Penha,21211006,-22.847620,-43.310930
Rua,Ponto Chiq,342,Cordovil,21010315,-22.818363,-43.291466
Rua,Mafalda,142,Campo Grande,23052040,-22.902289,-43.552843
Rua,Belford,403,Rocha,20961000,-22.897319,-43.252548
Rua,E,284,Muzema,22753053,-22.988805,-43.329447
Rua,Guilherme Frota,60,Bonsucesso,21040200,-22.862329,-43.248339
Rua,Correia e Castro,54,Jardim Guanabara,21940080,-22.811637,-43.197966
Rua,Quatro,254,Sepetiba,23520660,-22.958177,-43.678832
Rua,Quatro,270,Sepetiba,23520660,-22.957924,-43.678957
Rua,Chapot Prevost,253,Freguesia,21910030,-22.795693,-43.174004
Entrada,15,319,Senador Vasconcelos,23010390,-22.892588,-43.519868
Rua,Adalberto Tanajura,14,Anchieta,21630000,-22.829370,-43.411366
Rua,Jacks Maritain,92,Vila Cruzeiro,21072150,-22.850280,-43.285929
Rua,Eliseu Visconti,415,Santa Teresa,20251250,-22.929725,-43.196485
Rua,Alexandre Vannucchi Leme,110,Bangu,21862740,-22.859119,-43.468210
Rua,Hilton Gosling,350,Taquara,22715540,-22.924170,-43.388180
Estrada,Do Sape,1125,Rocha Miranda,21550010,-22.856140,-43.352463
Rua,Chapot Prevost,351,Freguesia,21910030,-22.796325,-43.173436
Rua,Alice Figueiredo,56,Riachuelo,20950150,-22.904048,-43.253894
Rua,Hilton Gosling,220,Taquara,22715540,-22.923901,-43.386833
Avenida,Meriti,1216,Vila da Penha,21211006,-22.847965,-43.310716
Rua,Dos Canarios,14,Comari,23017030,-22.921401,-43.532252
Travessa,Itapora,57,Bangu,21842145,-22.866457,-43.472754
Entrada,15,326,Senador Vasconcelos,23010390,-22.892934,-43.519699
Rua,Jacks Maritain,100,Vila Cruzeiro,21072150,-22.850333,-43.286127
Rua,Caldas,297,Campo Grande,23081080,-22.895499,-43.568107
Travessa,Paulo Leivas Macalao,31,Realengo,21715550,-22.879836,-43.441400
Travessa,Paulo Leivas Macalao,27,Realengo,21715550,-22.879411,-43.441535
Rua,Capivari,51,Morro do Timbau,21042090,-22.863923,-43.240960
Rua,Menino Jesus,36,Terra Nostra,21650100,-22.829846,-43.369669
Rua,Hilton Gosling,360,Taquara,22715540,-22.924172,-43.388275
Rua,Sidney,276,Bangu,21875030,-22.872508,-43.455784
Rua,Quatro,237,Sepetiba,23520660,-22.957895,-43.678942
Estrada,Da Ligacao,1130,Jacarepagua,22713470,-22.929416,-43.400834
Travessa,Cataia,5,Vila Kennedy,21852500,-22.859991,-43.490683
Rua,Ajurana,264,Campo Grande,23087250,-22.887287,-43.563280
Rua,Valdemar Rayther,240,Guadalupe,21665285,-22.835950,-43.372958
Rua,Domingos Ferreira,48,Mangueira,20911020,-22.902683,-43.237203
Rua,Colorado do Oeste,16,Campo Grande,23073575,-22.883455,-43.586107
